Süre (Sn)	Basýnç (Torr)	Basýnç (Torr)	Basýnç (Torr)
		K-KBÖ		K-BBÖ		AH-PBÖ
2415		5,5E-6		1,6E-1		1,7E-1
2420		5,2E-6		1,6E-1		1,7E-1
2425		5,0E-6		1,6E-1		1,7E-1
2430		4,9E-6		1,6E-1		1,7E-1
2435		4,8E-6		1,6E-1		1,7E-1
2440		4,6E-6		1,6E-1		1,7E-1
2445		4,4E-6		1,6E-1		1,7E-1
2450		4,1E-6		1,6E-1		1,7E-1
2455		4,0E-6		1,6E-1		1,7E-1
2460		3,8E-6		1,6E-1		1,7E-1
2465		3,5E-6		1,6E-1		1,7E-1
2470		3,5E-6		1,6E-1		1,7E-1
2475		3,5E-6		1,6E-1		1,7E-1
2480		3,5E-6		1,6E-1		1,7E-1
2485		3,4E-6		1,6E-1		1,7E-1
2490		3,4E-6		1,6E-1		1,7E-1
2495		3,3E-6		1,6E-1		1,7E-1
2500		3,3E-6		1,6E-1		1,7E-1
2505		3,2E-6		1,6E-1		1,7E-1
2510		3,1E-6		1,6E-1		1,7E-1
2515		3,0E-6		1,6E-1		1,7E-1
2520		3,0E-6		1,6E-1		1,7E-1
2525		3,1E-6		1,6E-1		1,7E-1
2530		2,9E-6		1,6E-1		1,7E-1
2535		2,9E-6		1,6E-1		1,7E-1
2540		2,9E-6		1,6E-1		1,7E-1
2545		3,0E-6		1,6E-1		1,7E-1
2550		3,1E-6		1,6E-1		1,7E-1
2555		3,2E-6		1,6E-1		1,7E-1
2560		3,2E-6		1,6E-1		1,7E-1
2565		3,0E-6		1,6E-1		1,7E-1
2570		2,7E-6		1,6E-1		1,7E-1
2575		2,7E-6		1,6E-1		1,7E-1
2580		2,7E-6		1,6E-1		1,7E-1
2585		2,7E-6		1,6E-1		1,7E-1
2590		2,6E-6		1,6E-1		1,7E-1
