Süre	1. Bölge	2. Bölge	3. Bölge	Isýnma	Soðutma 
(Sn)	(ºC)		(ºC)		(ºC)		(ºC)	(ºC)
       	Mavi		Kýrmýzý		Yeþil		Turuncu	Sarý
815	49		37		44		64	21
816	49		37		44		64	21
817	49		37		44		64	21
818	49		37		44		64	21
819	49		38		44		65	21
820	49		38		44		65	21
821	49		38		44		65	21
822	49		38		44		65	21
823	49		38		45		65	21
824	49		38		45		65	21
825	49		38		45		65	21
826	49		38		45		65	21
827	50		38		45		65	21
828	50		38		45		65	21
829	50		38		45		65	21
830	50		38		45		65	21
831	50		38		45		65	21
832	50		38		45		65	21
833	50		38		45		65	21
834	50		38		45		66	21
835	50		38		45		66	21
836	50		38		45		66	21
837	50		38		45		66	21
838	50		38		45		66	21
839	50		38		45		66	21
840	51		38		45		66	21
841	51		38		45		66	21
842	51		38		45		66	21
843	51		38		46		66	21
844	51		38		46		66	21
845	51		38		46		66	21
846	51		38		46		66	21
847	51		38		46		66	21
848	51		38		46		67	21
849	51		38		46		67	21
850	51		38		46		67	21
851	51		38		46		67	21
852	51		38		46		67	21
853	51		38		46		67	21
854	51		38		46		67	21
855	51		38		46		67	21
856	51		39		46		67	21
857	51		39		46		67	21
858	51		39		46		67	21
859	51		39		46		67	21
860	51		39		46		68	21
861	51		39		46		68	21
862	51		39		46		68	21
863	52		39		46		68	21
864	52		39		46		68	21
865	52		39		47		68	21
866	52		39		47		68	21
867	52		39		47		68	21
868	52		39		47		68	21
869	52		39		47		68	21
870	52		39		47		68	21
871	52		39		47		68	21
872	52		39		47		68	21
873	52		39		47		68	21
874	52		39		47		68	21
875	52		39		47		68	21
876	52		39		47		69	21
877	52		39		47		69	21
878	52		39		47		69	21
879	52		39		47		69	21
880	53		39		47		69	21
881	53		39		47		69	21
882	53		39		47		69	21
883	53		39		47		69	21
884	53		39		47		69	21
885	53		40		47		69	21
886	53		40		47		69	21
887	53		40		47		70	21
888	53		40		47		70	21
889	53		40		48		70	21
890	53		40		48		70	21
891	53		40		48		70	21
892	53		40		48		70	21
893	53		40		48		70	21
894	53		40		48		70	21
895	53		40		48		70	22
896	53		40		48		70	22
897	53		40		48		70	22
898	53		40		48		70	22
899	53		40		48		70	22
900	54		40		48		70	22
901	54		40		48		70	22
902	54		40		48		71	22
903	54		40		48		71	22
904	54		40		48		71	22
905	54		40		49		71	22
906	54		40		49		71	22
907	54		40		49		71	22
908	54		40		49		71	22
909	54		40		49		71	22
910	54		40		49		71	22
911	55		40		49		71	22
912	55		40		49		72	22
913	55		41		49		72	22
914	55		41		49		72	22
915	55		41		49		72	22
916	55		41		49		72	22
917	55		41		49		72	22
918	55		41		49		72	22
919	55		41		49		72	22
920	55		41		49		72	22
921	55		41		49		72	22
922	55		41		50		73	22
923	55		41		50		73	22
924	55		41		50		73	22
925	55		41		50		73	22
926	56		41		50		73	22
927	56		41		50		73	22
928	56		41		50		73	22
929	56		41		50		74	22
930	56		41		50		74	22
931	56		41		50		74	22
932	56		41		50		74	22
933	56		41		50		74	22
934	56		41		50		74	22
935	56		41		51		74	22
936	56		41		51		74	22
937	56		41		51		74	22
938	56		42		51		74	22
939	57		42		51		74	22
940	57		42		51		75	22
941	57		42		51		75	22
942	57		42		51		75	22
943	57		42		51		75	22
944	57		42		51		75	22
945	57		42		51		75	22
946	57		42		51		75	22
947	57		42		51		75	22
948	57		42		52		75	22
949	57		42		52		75	22
950	57		42		52		76	22
951	57		42		52		76	22
952	57		42		52		76	22
953	58		42		52		76	22
954	58		42		52		76	22
955	58		42		52		76	22
956	58		42		52		76	22
957	58		42		52		76	22
958	58		43		52		77	22
959	58		43		52		77	22
960	58		43		52		77	22
961	58		43		52		77	22
962	58		43		52		77	22
963	58		43		52		77	22
964	58		43		53		78	22
965	59		43		53		78	22
966	59		43		53		78	23
967	59		43		53		78	23
968	59		43		53		78	23
969	59		43		53		78	23
970	59		43		53		78	23
971	59		43		53		78	23
972	59		43		53		78	23
973	59		43		53		78	23
974	59		43		53		79	23
